,idx,class_label,presence_terminal_loop,start_loop_upperhalf_col,highest_point_loop_upperhalf_row,highest_point_loop_upperhalf_col,loop_length,loop_width,gap_start,palindrome_score,asymmetric,large_asymmetric_bulge,largest_asym_bulge_strand_location,largest_asym_bulge_sequence_location,stem_begin,stem_end,stem_length,total_length,base_pairs_in_stem,base_pairs_wobbles_in_stem,AU_pair_begin_maturemiRNA,UGU
2896,2896,1,True,5.0,2.0,3.0,22.0,6.0,,1.0,False,,,,41,6,35,41,0.8055555555555556,0.8333333333333334,True,False
2897,2897,1,True,16.0,0.0,13.0,25.0,17.0,,0.926829268292683,False,,,,40,17,23,40,0.7083333333333334,0.7916666666666666,False,True
2898,2898,1,True,3.0,5.0,2.0,16.0,4.0,,0.6756756756756757,False,,,,36,4,32,36,0.6363636363636364,0.6363636363636364,True,False
2899,2899,1,True,3.0,5.0,2.0,16.0,4.0,,0.7027027027027027,False,,,,36,4,32,36,0.5757575757575758,0.6666666666666666,False,True
2900,2900,0,True,11.0,0.0,8.0,25.0,12.0,,0.6956521739130435,False,1.0,lower,36.0,45,12,33,45,0.5588235294117647,0.5882352941176471,True,False
2901,2901,1,True,2.0,4.0,1.0,18.0,3.0,,0.5632183908045977,False,19.0,lower,66.0,86,3,83,86,0.47619047619047616,0.5119047619047619,False,True
2902,2902,0,True,5.0,2.0,3.0,22.0,6.0,,0.6545454545454545,False,5.0,upper,42.0,54,6,48,54,0.3877551020408163,0.40816326530612246,True,False
2903,2903,1,True,5.0,2.0,3.0,22.0,6.0,,0.7457627118644068,False,8.0,upper,53.0,58,6,52,58,0.4716981132075472,0.5849056603773585,True,True
2904,2904,0,False,,,,,,5.0,0.45614035087719296,False,3.0,lower,11.0,56,0,56,56,0.3392857142857143,0.39285714285714285,False,False
2905,2905,1,True,2.0,4.0,1.0,18.0,3.0,,0.7428571428571429,False,,,,34,3,31,34,0.59375,0.6875,False,False
2906,2906,1,True,8.0,0.0,5.0,25.0,9.0,,0.8431372549019608,False,,,,50,9,41,50,0.6666666666666666,0.7857142857142857,True,False
2907,2907,1,True,2.0,4.0,1.0,18.0,3.0,,0.9347826086956522,False,,,,45,3,42,45,0.6046511627906976,0.6976744186046512,False,False
2908,2908,1,True,4.0,2.0,2.0,22.0,5.0,,0.8253968253968254,False,,,,62,5,57,62,0.46551724137931033,0.7068965517241379,False,False
2909,2909,0,True,3.0,4.0,2.0,18.0,4.0,,0.7666666666666667,False,,,,59,4,55,59,0.35714285714285715,0.4642857142857143,True,False
2910,2910,1,True,8.0,0.0,5.0,25.0,9.0,,0.8205128205128205,False,,,,38,9,29,38,0.6666666666666666,0.6666666666666666,False,False
2911,2911,1,True,3.0,4.0,2.0,18.0,4.0,,0.9565217391304348,False,,,,45,4,41,45,0.6904761904761905,0.7857142857142857,False,True
2912,2912,1,True,3.0,4.0,2.0,18.0,4.0,,0.9090909090909091,False,,,,43,4,39,43,0.675,0.725,True,False
2913,2913,0,True,3.0,4.0,2.0,18.0,4.0,,0.7962962962962963,False,,,,53,4,49,53,0.56,0.68,False,False
2914,2914,1,True,3.0,6.0,2.0,14.0,4.0,,0.8367346938775511,False,,,,48,4,44,48,0.4888888888888889,0.6888888888888889,False,False
2915,2915,1,True,9.0,0.0,6.0,25.0,10.0,,0.8648648648648649,False,,,,36,10,26,36,0.6666666666666666,0.7777777777777778,True,False
2916,2916,1,True,2.0,4.0,1.0,18.0,3.0,,0.8666666666666667,False,,,,44,3,41,44,0.6904761904761905,0.8095238095238095,True,False
2917,2917,1,True,13.0,0.0,9.0,25.0,14.0,,0.9487179487179487,False,,,,38,14,24,38,0.68,0.84,False,True
2918,2918,1,True,6.0,0.0,3.0,25.0,7.0,,0.6818181818181818,False,7.0,lower,83.0,87,7,80,87,0.5555555555555556,0.6172839506172839,False,False
2919,2919,1,True,5.0,2.0,3.0,22.0,6.0,,0.8103448275862069,False,4.0,upper,55.0,57,6,51,57,0.5961538461538461,0.6730769230769231,False,False
2920,2920,0,False,,,,,,5.0,0.38636363636363635,True,3.0,upper,34.0,43,0,43,43,0.13953488372093023,0.18604651162790697,False,False
2921,2921,0,False,,,,,,4.0,0.2608695652173913,True,15.0,lower,60.0,68,0,68,68,0.058823529411764705,0.08823529411764706,False,False
2922,2922,0,True,10.0,0.0,7.0,25.0,11.0,,0.6875,False,,,,47,11,36,47,0.5675675675675675,0.5945945945945946,True,False
2923,2923,1,False,,,,,,14.0,0.49,False,6.0,lower,7.0,99,0,99,99,0.08080808080808081,0.13131313131313133,False,False
2924,2924,1,True,6.0,0.0,3.0,25.0,7.0,,0.8611111111111112,False,,,,35,7,28,35,0.6551724137931034,0.7241379310344828,True,False
